
FRAME 4
ACC0, X:-0.030640, Y:-0.787338, Z:-0.657684
GYR0, X:-0.264892, Y:0.173266, Z:-0.249734
MAG0, X:-100.998352, Y:102.669540, Z:-34.873627
